"day","lon","lat"
1,-79.864171369993,4.59120477124453
2,-79.9232847128168,4.67101535764192
3,-79.9790920890632,4.74149870594906
4,-80.03174839926,4.80313176836797
5,-80.0814081219227,4.85638997745839
6,-80.1282253849845,4.90174752475775
7,-80.1723540330476,4.93967763375129
8,-80.213947690347,4.97065282430366
9,-80.2531598193185,4.99514516597976
10,-80.2901437746679,5.0136265179835
11,-80.3250528528426,5.02656875371626
12,-80.358040336808,5.03444396820822
13,-80.3892595360387,5.03772466690688
14,-80.4188638216341,5.03688393451904
15,-80.4470066564738,5.0323955827927
16,-80.4738416203303,5.02473427630569
17,-80.4995224298621,5.01437563548382
18,-80.5242029534111,5.00179631621787
19,-80.5480372205349,4.98747406557635
20,-80.5711691596632,4.97186026642621
21,-80.5936534560962,4.95516801779199
22,-80.6154987599721,4.93748769967039
23,-80.6367132855636,4.91890901459881
24,-80.6573051987657,4.89952200887497
25,-80.6772826243009,4.8794170734564
26,-80.6966536527351,4.85868494202159
27,-80.7154263472995,4.83741668616653
28,-80.7336087505192,4.8157037077148
29,-80.7512088906445,4.79363772812307
30,-80.7682347878831,4.77131077496342
31,-80.7846944604294,4.74881516547354
32,-80.8005959302877,4.72624348716173
33,-80.8159472288864,4.70368857546646
34,-80.8307564024772,4.68124348846469
35,-80.8450315173169,4.65900147863868
36,-80.8587806646268,4.6370559617051
37,-80.8720119653238,4.61550048252209
38,-80.8847373369178,4.59443205167605
39,-80.8970552783999,4.57402531460992
40,-80.9091508891199,4.55453245300628
41,-80.9212130534848,4.5362088567433
42,-80.93343060999,4.51930964676854
43,-80.9459922813588,4.50408956860804
44,-80.9590866038693,4.49080288278507
45,-80.9729018559061,4.4797032522382
46,-80.9876259857731,4.47104362680664
47,-81.0034465388039,4.46507612483925
48,-81.0205505838019,4.46205191193382
49,-81.0391246388399,4.46222107680516
50,-81.0593545964448,4.46583250422283
51,-81.0814256481833,4.47313374492678
52,-81.1055222086645,4.48437088238802
53,-81.1318278389613,4.49978839622472
54,-81.1605251694474,4.51962902204039
55,-81.1917958220385,4.54413360739879
56,-81.2258200832468,4.5735412878173
57,-81.2627470912998,4.60812827884535
58,-81.3026670862762,4.64824497916634
59,-81.3456636124628,4.69424874507815
60,-81.3918203928959,4.74649527920411
61,-81.4412214821076,4.80533879685466
62,-81.4939514269387,4.87113222019624
63,-81.5500954353169,4.94422739814742
64,-81.6097395529443,5.02497534980887
65,-81.6729708478706,5.11372652909027
66,-81.7398776029942,5.21083110811784
67,-81.8105495165721,5.31663927686016
68,-81.8850779108752,5.43150155628585
69,-81.9635559491832,5.55576912223577
70,-82.0460788613711,5.6897941370435
71,-82.1327441783946,5.83393008575859
72,-82.2236519760498,5.9885321136592
73,-82.3189051284456,6.15395736152372
74,-82.4186095716923,6.33056529490225
75,-82.5228592898967,6.5187364875316
76,-82.6316910823017,6.71892872194295
77,-82.7451313486717,6.93162270799682
78,-82.8632118042508,7.15730424451188
79,-82.9859698296973,7.39646474668156
80,-83.1134488310937,7.64960175611168
81,-83.2456986120418,7.91721942563018
82,-83.3827757600021,8.19982897023018
83,-83.524744049207,8.49794907463304
84,-83.6716748626636,8.81210624698123
85,-83.8236476359564,9.14283510705244
86,-83.9807503257832,9.49067859616961
87,-84.1430799064,9.85618809462541
88,-84.3107428974215,10.2399234309654
89,-84.4838559267119,10.6424527658326
90,-84.6625463324566,11.0643523313977
91,-84.8469528088441,11.5062060054735
92,-85.0372261002355,11.9686046975386
93,-85.2335211421073,12.4520400411107
94,-85.4359298245029,12.9560896272303
95,-85.6445131176252,13.4798581141567
96,-85.8593382475981,14.0224442032354
97,-86.0804791133372,14.5829437289717
98,-86.3080164058856,15.1604490651639
99,-86.5420377443667,15.754048751377
100,-86.7826378288593,16.3628273382375
101,-87.0299186105245,16.9858654474835
102,-87.2839894794139,17.6222400403239
103,-87.5449674704012,18.2710248850827
104,-87.8129774877595,18.9312912127224
105,-88.0881525489661,19.6021085464986
106,-88.3706340483296,20.2825456896689
107,-88.6605720411479,20.971671853256
108,-88.9581255490994,21.6685579038708
109,-89.2634628876353,22.3722777100338
110,-89.5767620162185,23.0819095641786
111,-89.8982058011376,23.7965493934467
112,-90.227870927725,24.5155726712034
113,-90.5657325702658,25.238645141671
114,-90.9117795845601,25.9654696482892
115,-91.2660208506616,26.6957753977895
116,-91.6284865745515,27.4293188071822
117,-91.9992297086053,28.1658842789214
118,-92.378327507253,28.9052849050045
119,-92.7658832365062,29.6473631016326
120,-93.162028058593,30.3919911766733
121,-93.5669231158997,31.1390718325919
122,-93.9807618419829,31.8885386080105
123,-94.4037725314347,32.6403562611041
124,-94.8362212051513,33.394521097993
125,-95.2784148132215,34.1510612491627
126,-95.7307048241488,34.9100368962326
127,-96.1934912569422,35.6715404506928
128,-96.667227221759,36.4356966849918
129,-97.1524202775528,37.2026586310641
130,-97.6491707592182,37.972097178742
131,-98.156642670487,38.7426690596718
132,-98.6737703880459,39.512853834802
133,-99.199342511038,40.2810707384641
134,-99.7319869762581,41.045685383282
135,-100.270156200777,41.8050173262364
136,-100.812112480261,42.5573483403333
137,-101.35591391959,43.3009311975055
138,-101.899401222359,44.0339987313369
139,-102.440185715294,44.754772913172
140,-102.975639032182,45.4614736453662
141,-103.50288492694,46.1523269508809
142,-104.01879372643,46.8255722222464
143,-104.519979968083,47.479468185285
144,-105.002803794815,48.1122972361273
145,-105.463376699061,48.7223678251269
146,-105.897572217953,49.3080145886178
147,-106.301042183585,49.8675959712354
148,-106.669959480085,50.3998123333132
